fold,baseline_roc_auc,tuned_roc_auc,baseline_pr_auc,tuned_pr_auc,pr_auc_difference
1,0.7812179487179487,0.7803846153846155,0.5309435150452728,0.5284488935765534,-0.0024946214687193713
2,0.7928846153846154,0.7924358974358975,0.5766665517653473,0.579773037309136,0.003106485543788673
3,0.7942948717948718,0.7943589743589742,0.5747459664130584,0.5752331459002379,0.0004871794871794677
4,0.7688461295018673,0.7690993100829167,0.5214587726768718,0.521844682660557,0.00038590998368515095
5,0.8190391796949174,0.8190391796949174,0.6271778021379472,0.6271778021379472,0.0
